#  Table F110W_filter.tab  Thu 14:41:52 08-May-2014
#      WAVELENGTH      THROUGHPUT
#           angstroms                
     9026.675       0.2981102
     9027.408       0.2994269
     9028.137       0.3007351
      9028.87       0.3020521
     9029.604       0.3033694
     9030.332       0.3046784
     9031.071       0.3060072
     9031.805       0.3073258
     9032.534       0.3086211
     9033.268       0.3097251
     9034.002       0.3108309
      9034.73       0.3119279
     9035.465       0.3130339
     9036.199       0.3141401
     9036.934       0.3152463
     9037.662       0.3163439
     9038.396       0.3174505
     9039.136       0.3185647
     9039.865       0.3196643
     9040.601       0.3207732
     9041.335       0.3218808
      9042.06       0.3229739
     9042.799       0.3239844
     9043.534       0.3248513
     9044.264       0.3257113
     9045.004       0.3265842
     9045.733       0.3274444
     9046.469       0.3283119
     9047.203        0.329178
     9047.938       0.3300457
     9048.664       0.3309018
     9049.399       0.3317695
     9050.135       0.3326413
      9050.87         0.33353
     9051.605       0.3344191
     9052.341       0.3353083
     9053.076       0.3360062
     9053.807       0.3366534
     9054.547       0.3373095
     9055.273       0.3379536
     9056.009       0.3386056
     9056.744       0.3392579
      9057.48       0.3399111
     9058.217       0.3405645
     9058.952       0.3412172
     9059.684       0.3418666
      9060.42       0.3425089
     9061.156       0.3431422
     9061.887       0.3437707
     9062.623       0.3443693
     9063.359        0.344813
     9064.091       0.3452536
     9064.828       0.3456979
     9065.569       0.3461446
     9066.301       0.3465855
     9067.037       0.3470293
     9067.774       0.3474739
     9068.506       0.3479151
     9069.243       0.3483596
     9069.979       0.3488038
     9070.717       0.3492698
     9071.454       0.3497364
      9072.19       0.3502026
     9072.928       0.3505528
      9073.66       0.3508217
     9074.397       0.3510925
     9075.135       0.3513634
     9075.867       0.3516325
     9076.604       0.3519035
     9077.342       0.3521746
     9078.074       0.3524439
     9078.817       0.3527173
     9079.555       0.3529885
     9080.282       0.3532482
     9081.021       0.3534984
     9081.764       0.3537505
     9082.496        0.353998
     9083.234       0.3540918
     9083.973       0.3541855
      9084.71       0.3542793
     9085.448       0.3543731
     9086.187       0.3544668
     9086.915       0.3545595
     9087.653       0.3546533
     9088.392       0.3547471
     9089.125       0.3548402
     9089.868       0.3549348
     9090.603       0.3550284
     9091.336       0.3551221
     9092.079       0.3552169
     9092.818       0.3552629
     9093.552        0.355247
     9094.291       0.3552308
      9095.03       0.3552147
     9095.764       0.3551987
     9096.503       0.3551827
     9097.247       0.3551662
     9097.981       0.3551501
     9098.721        0.355134
      9099.46       0.3551178
     9100.194       0.3551074
     9100.934       0.3551135
     9101.673       0.3551193
     9102.407       0.3551251
     9103.147         0.35508
     9103.887        0.355028
     9104.626       0.3549757
     9105.366       0.3549234
     9106.106       0.3548711
     9106.846       0.3548189
     9107.581       0.3547668
     9108.321       0.3547144
     9109.061       0.3546621
     9109.796         0.35461
     9110.541       0.3545415
     9111.281       0.3544675
     9112.017       0.3543941
     9112.757       0.3543188
     9113.498       0.3542411
     9114.233       0.3541638
     9114.974       0.3540862
     9115.714       0.3540081
      9116.45       0.3539309
     9117.186       0.3538537
     9117.927       0.3537758
     9118.667        0.353698
     9119.408         0.35362
     9120.154       0.3535462
     9120.891       0.3534907
     9121.632       0.3534346
     9122.372        0.353379
     9123.104       0.3533407
      9123.85       0.3533055
     9124.597       0.3532701
     9125.328       0.3532356
     9126.069       0.3532006
     9126.811       0.3531657
     9127.547       0.3531308
     9128.294       0.3530954
      9129.03       0.3530605
     9129.768       0.3530256
     9130.509       0.3529754
     9131.251       0.3529187
     9131.993        0.352862
     9132.735       0.3528191
     9133.477       0.3528073
     9134.214       0.3527956
     9134.956       0.3527837
     9135.698        0.352772
     9136.436       0.3527601
     9137.184       0.3527481
     9137.926       0.3527363
     9138.663       0.3527243
     9139.405       0.3527125
     9140.148       0.3527052
     9140.891       0.3527154
     9141.629       0.3527255
     9142.371       0.3527359
     9143.114       0.3528121
     9143.852       0.3529026
     9144.595        0.352994
     9145.338       0.3530853
     9146.081       0.3531766
     9146.824       0.3532678
     9147.567       0.3533593
     9148.306         0.35345
     9149.049       0.3535413
     9149.792       0.3536328
      9150.53       0.3537079
     9151.279       0.3537783
     9152.022       0.3538482
     9152.762       0.3539521
     9153.505        0.354124
     9154.249        0.354296
     9154.982       0.3544656
     9155.727       0.3546377
     9156.471       0.3548099
     9157.209       0.3549807
     9157.958       0.3551539
     9158.702       0.3553262
     9159.446       0.3554984
     9160.191       0.3556767
     9160.931         0.35587
      9161.67       0.3560634
     9162.414       0.3562582
     9163.158        0.356534
     9163.903       0.3568227
     9164.647       0.3571111
     9165.393          0.3574
     9166.132       0.3576866
     9166.877       0.3579758
     9167.621       0.3582643
     9168.361       0.3585516
     9169.106       0.3588409
     9169.852       0.3591302
     9170.591       0.3593996
     9171.336       0.3596669
     9172.082       0.3599347
     9172.827       0.3602306
     9173.572       0.3605666
     9174.317       0.3609026
     9175.062       0.3612389
     9175.804       0.3615732
     9176.549       0.3619094
       9177.3       0.3622483
      9178.04       0.3625823
     9178.786       0.3629191
     9179.532        0.363256
     9180.272       0.3635986
     9181.019       0.3639584
     9181.765       0.3643184
     9182.506       0.3646761
     9183.252       0.3651029
     9183.998       0.3655311
     9184.739       0.3659564
     9185.485       0.3663847
     9186.236        0.366816
     9186.978       0.3672418
      9187.72       0.3676681
     9188.471       0.3680996
     9189.213       0.3685264
     9189.959       0.3689554
     9190.706       0.3693634
     9191.452       0.3697699
     9192.199       0.3701768
     9192.946       0.3706068
     9193.684       0.3710478
      9194.43       0.3714946
     9195.177       0.3719418
     9195.919       0.3723862
     9196.672       0.3728372
     9197.419       0.3732845
     9198.156       0.3737263
     9198.903       0.3741739
     9199.656       0.3746251
     9200.398       0.3750725
     9201.146       0.3755249
     9201.894       0.3759781
     9202.636       0.3764281
     9203.384       0.3768835
     9204.132       0.3773392
      9204.88       0.3777949
     9205.627         0.37825
     9206.375        0.378706
     9207.118        0.379159
     9207.866       0.3796149
     9208.614       0.3800709
     9209.363       0.3805277
     9210.106       0.3809777
     9210.854       0.3814103
     9211.603       0.3818431
     9212.347       0.3822736
       9213.1       0.3826881
     9213.849       0.3830936
     9214.592        0.383496
     9215.341       0.3839016
      9216.09       0.3843073
     9216.833         0.38471
     9217.582       0.3851156
     9218.336        0.385524
      9219.08       0.3859271
     9219.829        0.386333
     9220.578       0.3867576
     9221.322       0.3871851
     9222.071       0.3876157
     9222.821       0.3880266
     9223.565       0.3884026
     9224.314       0.3887812
      9225.06       0.3891579
     9225.809       0.3895365
     9226.559       0.3899159
