#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     7557.711       0.1956028
     7559.006       0.1956211
     7560.301        0.195634
     7561.592       0.1956295
     7562.883       0.1956308
     7564.179       0.1956358
     7565.474       0.1956406
      7566.77       0.1956453
     7568.062       0.1956499
     7569.358       0.1956544
     7570.651       0.1956702
     7571.948       0.1956971
     7573.245       0.1957118
     7574.538       0.1957249
     7575.835        0.195738
     7577.129       0.1957509
     7578.431       0.1957639
     7579.725       0.1957766
      7581.02       0.1957716
     7582.322       0.1957677
     7583.617       0.1957911
     7584.916       0.1958145
     7586.211       0.1958378
      7587.51        0.195861
     7588.806       0.1958839
     7590.102       0.1959086
     7591.406       0.1959543
     7592.702       0.1959713
     7594.003       0.1959565
     7595.304       0.1959417
     7596.604       0.1959268
     7597.902        0.195912
     7599.199       0.1958971
     7600.501       0.1958733
     7601.803       0.1958355
     7603.105       0.1958293
     7604.403       0.1958322
     7605.706       0.1958349
     7607.004       0.1958376
     7608.308         0.19584
     7609.611       0.1958425
      7610.91       0.1958449
     7612.214       0.1958421
     7613.514       0.1957908
     7614.818       0.1957394
     7616.122       0.1956879
     7617.422       0.1956363
     7618.728       0.1955848
     7620.028       0.1955338
     7621.333       0.1955049
     7622.639       0.1954635
     7623.945       0.1954047
     7625.247        0.195346
     7626.548       0.1952873
     7627.855       0.1952284
     7629.162       0.1951696
     7630.468       0.1950922
     7631.771       0.1949825
     7633.079       0.1948599
     7634.382       0.1947336
     7635.689       0.1946069
     7636.998       0.1944802
     7638.301       0.1943539
      7639.61       0.1942273
     7640.915        0.194117
     7642.228       0.1940096
     7643.532       0.1938735
     7644.837       0.1937374
     7646.147       0.1936009
     7647.453       0.1934648
     7648.767        0.193328
     7650.073       0.1931908
     7651.383        0.193032
     7652.694       0.1928612
     7654.005        0.192676
     7655.312       0.1924916
     7656.619       0.1923071
      7657.93       0.1921222
     7659.238        0.191938
     7660.554       0.1917622
     7661.862       0.1916006
     7663.174       0.1914339
     7664.483       0.1912667
     7665.796        0.191099
     7667.109       0.1909313
     7668.418       0.1907644
     7669.731       0.1905969
     7671.041       0.1904124
     7672.355       0.1902158
     7673.669       0.1899893
      7674.98       0.1897636
     7676.294       0.1895375
     7677.605       0.1893121
      7678.92       0.1890862
     7680.236       0.1888645
     7681.551       0.1886611
     7682.863       0.1884538
     7684.175       0.1882429
     7685.491       0.1880315
     7686.808       0.1878202
     7688.124       0.1876091
     7689.437       0.1873987
     7690.754       0.1871753
     7692.067       0.1869431
     7693.385       0.1867172
     7694.703       0.1864917
     7696.017        0.186267
     7697.335       0.1860419
     7698.649       0.1858177
     7699.972       0.1855921
     7701.287        0.185368
     7702.602        0.185138
     7703.921       0.1848967
     7705.237       0.1846563
     7706.561       0.1844145
     7707.876       0.1841745
     7709.197       0.1839339
     7710.513       0.1837027
      7711.83       0.1834849
     7713.155       0.1832738
     7714.472       0.1830664
     7715.793       0.1828585
     7717.111       0.1826514
     7718.437        0.182443
     7719.755       0.1822362
     7721.073       0.1820119
